X,S1,S1_conf
A1,0.000222912008476,0.00037670740918
A2,-7.21748754939578E-05,9.04394506119001E-05
A3,0.002585516738464,0.001671703895368
AL1,0.029163520399351,0.010190772248019
AL2,-0.000204862641346,0.000404792406993
AL3,0.575692395696717,0.016108754083372
C1,0.000198967065461,0.000299558234457
C2,-0.000111402046623,0.000138482815139
C3,-7.51102721746228E-05,0.000266781690608
CO1,-4.08510092121475E-05,0.000390950020354
CO2,-8.00482565273612E-05,0.000106304240191
CO3,0.000487739487989,0.000448177042177
CU1,-3.00147454396723E-05,0.000104610160407
CU2,-5.05839620802174E-05,8.36733045099643E-05
CU3,-3.88520757583099E-05,0.000128294102311
D1,-0.000319289426005,0.000371936186065
D2,-5.27116207232833E-05,8.36028500560301E-05
D3,-3.90734871197153E-05,7.85976119345124E-05
EP,0.000866826456278,0.000608792234779
G1,-8.04106954848777E-05,0.00057745210273
G2,-6.97358854827181E-05,0.000111550789384
G3,0.000753215084125,0.000891497281637
GR,0.050194590912092,0.004686302678708
OG1,-0.000205366925551,0.000127348800472
OG2,-7.94500693026316E-05,9.51497546142473E-05
OG3,-1.82801473569161E-05,0.000142196091673
OD1,4.61744524855115E-05,0.00020813958692
OD2,-0.000174518420996,0.000204598262613
OD3,4.10497813013939E-05,0.000233521414593
OF1,2.00376094655669E-05,6.75330136514746E-05
OF2,-0.000204649442379,0.000373041998125
OF3,-1.47529261428622E-05,0.000275105829767
OT1,0.000614279471713,0.000585847685105
OT2,-1.69142139676638E-05,0.00013038202448
OT3,0.000689370530473,0.000553054302182
P1,0,0
P2,-7.32222158835554E-05,9.79295279685542E-05
P3,3.58904965193423E-05,0.000195511682069
PT1,-9.52419436959975E-05,0.000245090565395
PT2,-4.82965932507291E-05,8.44310709076641E-05
PT3,2.32630661835927E-05,0.000150582588578
S1,-5.26157819344926E-05,0.000122183513099
S2,-3.01365033564824E-05,0.000100276266958
S3,-3.08829291271707E-05,0.000105981726547
SW,0.023485814605386,0.005720910357319
V1,0.041093615581878,0.004665138808544
V2,-2.2916672614899E-05,0.000120508891164
V3,0.041780407329567,0.003853078612369
